;длинна€ ше€;длинный хвост;живЄт в лесу;злое;любит ползать;любит прыгать;любит всЄ грызть;любит фрукты;все€дное;полосатое;п€тнистое;одного сплошного цвета;служит человеку;умеет летать;умеет плавать;хищное;шустрое;противное
акула;;1;0;1;0;0;0,75;;0;0;0;;0;0;1;1;1;0,875
белка;;1;1;0;0;1;1;;0;0;;0,75;;0;0;0;1;0
бык;;1;0;0,875;;;;0,75;0;;;;1;0;;0;0;
волк;;0,125;0,875;1;;;;;1;0;0,25;0,75;0;0;1;1;0,875;0,875
воробей;0;0,25;;0;0;1;;1;0;0;;;0;1;0;;1;0
ворона;0;0,75;;;0;;;1;1;0;0,5;0,5;0;1;0;;0,75;0,75
дельфин;;1;0;0;0;1;0;;0;1;;;0,75;0;1;0,5;1;0
Єж;0;0;1;0,25;;;;1;1;;;0,75;;0;1;;0,25;0
жаба;0;;;0,75;;1;0;0;0;;0,5;;0;0;1;;0,75;1
жираф;1;;;0;;0;0;;0;0;1;0;0;0;;0;0,25;0
за€ц;;0;0,875;0;0,125;1;;;0;;0,125;;0;0;0,875;0;1;0
зебра;0,75;;;0,125;0;;0;;0;1;;0;;0;;0;1;0
кабан;0;0;1;1;;;;1;1;;0,5;;0;0;;0,125;1;0,75
карась;;0,125;0;0;0;;0;0;0;0;;0,75;0;0;1;;1;0,125
кенгуру;1;1;0,125;0,125;0;1;0;1;0;0;;0,75;0;0;0;0;0,875;0,125
кит;;;0;0,25;0;0;0;0;0;0;0;;0;0;1;0;0;0,125
коала;0;0;1;0;0,875;0;;;0;0;;;0;0;0,875;0;0;0
корова;;0,875;0;0;;;0;0,875;0;;0,5;;1;0;0,875;0;0;0
корокодил;;1;0;1;0,875;0;0;0;0;0;0,5;0;0;0;1;1;1;0,875
кошка домашн€€;;1;0;0,25;0,75;1;0,75;;1;0,5;0,5;0,5;0,875;0;0,125;1;1;0
крыса;0;1;0;1;1;0;1;;1;0;;0,5;0,125;0;;0,125;0,875;0,875
лев;;1;0;1;;;0,125;;;0;0;0,75;0;0;0,125;1;1;0,75
лиса;;1;1;0,75;;;;;1;0;;0;0;0;0,125;1;1;0,75
лось;0,75;0;1;0,25;0;;0,75;0,875;0;0;;0,5;;0;1;0;1;0,25
лошадь;;0,625;0,125;0,125;0;1;0;0,875;0;0;;0,5;1;0;1;0;1;0
л€гушка;0;;;0;;1;0;0;0;;0,5;;0;0;1;;0,875;0,875
медведь;0;;1;1;;0,125;;0,875;1;0;0;0,75;;0;0,75;1;0,25;0,75
мышь;0;1;0,5;0;1;0,75;1;1;1;0;0;0,75;0,125;0;1;0;1;0,75
обезь€на;0;1;0,875;0,5;;1;;1;1;;;;;0;0,25;;1;0,125
олень;0,75;0,125;;0;0;1;;;0;0;0,5;;1;0;1;0;1;0
орЄл;0;0,75;0;1;0;0,125;;;0,875;0;;0;0;1;0;1;1;
панда;0;0;1;0,5;;0;;;1;0;0,875;0;;0;1;;0;0
чЄрна€ пантера;;1;0,875;1;;1;0;;;0;0;1;;0;0,125;1;1;
павлин;1;1;;0;0;0;0;;;0;1;0;;1;0;0;0;0
питон;0,75;1;;;1;0;0;;0;;1;0;;0;0,875;1;0,125;0,75
пингвин;;0,25;0;0;;;0;0;0;0;0,875;0;0;0;1;1;1;0
попугай;;;;0,125;0;;1;1;0;;0,5;;;1;0;0;1;0
рысь;;1;1;1;;1;;;1;0;1;0;0;0;;1;1;0,75
свинь€;0,125;0;0;0,125;;0;;1;;;0,25;0,75;1;0;0;0;0,25;0,75
слон;0;0;;0,25;0;0;0;0,875;;0;0;1;1;0;0,875;0;0,125;0,125
собака домашн€€;;;0;0,5;;0,875;0,75;;1;;0,5;0,5;1;0;1;0;1;0
сова;0;0,125;1;0,25;0;0,125;;;;0,125;0,875;0,5;;1;0;1;0,875;0,125
тигр;;1;0,875;1;;1;0,125;;;1;;0;;0;0,125;1;1;
хом€к;0;0;;0;1;0,5;1;1;0;;0,5;0,5;0,875;0;0,75;0;1;0
утка;1;;;0,125;0;0;0;1;1;;0,5;0,5;;1;1;0;0,75;0
щука;;1;0;0,75;0;;0;0;0;1;1;0;0;0;1;1;1;
